filename,topic,outlet,article,likes,shares,comments,nv1,proximity,clickbait,direction,personalization,filename_surveycompany
"centralize_resett_0_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,resett,0,"6,7k",987,4,positive,Norway,True,centralize,True,05309.png
"centralize_klassekampen_0_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,klassekampen,0,"6,7k",987,4,positive,Norway,True,centralize,True,05321.png
centralize_aftenposten_0_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,aftenposten,0,23,987,432,positive,Norway,True,centralize,True,05368.png
"centralize_nrk_0_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,nrk,0,"6,7k",987,432,positive,Norway,True,centralize,True,05376.png
centralize_nrk_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,nrk,1,23,987,4,positive,Norway,True,centralize,False,02709.png
"centralize_resett_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,resett,1,"6,7k",7,432,positive,Norway,True,centralize,False,02767.png
centralize_resett_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,resett,1,23,987,432,positive,Norway,True,centralize,False,02852.png
"centralize_dagbladet_1_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,dagbladet,1,"6,7k",7,4,positive,Norway,True,centralize,False,02856.png
"centralize_aftenposten_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,aftenposten,1,"6,7k",987,4,positive,Norway,True,centralize,False,02872.png
centralize_vg_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,vg,1,23,7,432,positive,Norway,True,centralize,False,02993.png
"centralize_nettavisen_1_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,nettavisen,1,"6,7k",987,4,positive,Norway,True,centralize,False,03036.png
centralize_nettavisen_1_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nettavisen,1,23,7,432,positive,Norway,True,centralize,False,03057.png
"centralize_klassekampen_1_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,klassekampen,1,"6,7k",987,432,positive,Norway,True,centralize,False,03076.png
"centralize_nrk_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nrk,1,"6,7k",7,432,positive,Norway,True,centralize,False,03272.png
"centralize_dagbladet_1_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,dagbladet,1,"6,7k",7,432,positive,Norway,True,centralize,False,03274.png
centralize_dagbladet_1_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,dagbladet,1,23,7,4,positive,Norway,True,centralize,False,03336.png
centralize_klassekampen_1_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,klassekampen,1,23,987,432,positive,Norway,True,centralize,False,03369.png
centralize_klassekampen_1_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,klassekampen,1,23,987,4,positive,Norway,True,centralize,False,03405.png
